Model,memSize,memBusWidth,gpuClock,memClock,tmu,rop,igp,bus,memType,gpuChip
7300 GS Low Profile,0.256,64,450,266,4,2,No,PCIe 1.0 x16,DDR2,G72
7300 GT,0.128,128,350,325,8,8,No,PCIe 1.0 x16,DDR2,G73
7300 GT AGP,0.128,128,350,325,8,8,No,AGP 8x,DDR2,G73
7300 GT Mac Edition,0.128,128,350,500,8,8,No,PCIe 1.0 x16,GDDR3,G73
7300 LE,0.128,64,450,324,4,2,No,PCIe 1.0 x16,DDR2,G72
7300 SE,0.256,64,450,266,4,2,No,PCIe 1.0 x16,DDR2,G72
7350 LE,0.128,64,450,400,4,2,No,PCIe 1.0 x16,DDR2,G72
7500 LE,0.064,64,475,405,8,4,No,PCIe 1.0 x16,DDR2,G72
7600 GS,0.256,128,400,400,12,8,No,PCIe 1.0 x16,DDR2,G73
7600 GS AGP,0.256,128,400,400,12,8,No,AGP 8x,DDR2,G73
7600 GS AGP,0.256,128,500,725,12,8,No,AGP 8x,GDDR3,G71
7600 GT,0.256,128,560,700,12,8,No,PCIe 1.0 x16,GDDR3,G73
7600 GT Mac Edition,0.256,128,560,700,12,8,No,PCIe 1.0 x16,GDDR3,G73
7600 LE,0.256,128,400,400,8,8,No,PCIe 1.0 x16,DDR2,G73
7650 GS,0.256,128,450,400,12,8,No,PCIe 1.0 x16,DDR2,G73
7800 GS 20Pipes AGP,0.512,256,425,625,20,16,No,AGP 8x,GDDR3,G70
7800 GS 24Pipes AGP,0.512,256,425,625,24,16,No,AGP 8x,GDDR3,G70
7800 GS AGP,0.256,256,375,600,16,8,No,AGP 8x,GDDR3,G70
7800 GS+ 20Pipes AGP,0.512,256,425,625,20,16,No,AGP 8x,GDDR3,G71
7800 GS+ 24Pipes AGP,0.512,256,425,625,24,16,No,AGP 8x,GDDR3,G71
7800 GS+ AGP,0.256,256,375,600,16,8,No,AGP 8x,GDDR3,G71
7900 GS,0.256,256,450,660,20,16,No,PCIe 1.0 x16,GDDR3,G71
7900 GS AGP,0.256,256,450,660,20,16,No,AGP 8x,GDDR3,G71
7900 GT,0.256,256,450,660,24,16,No,PCIe 1.0 x16,GDDR3,G71
7900 GTO,0.512,256,650,660,24,16,No,PCIe 1.0 x16,GDDR3,G71
7900 GTX,0.512,256,650,800,24,16,No,PCIe 1.0 x16,GDDR3,G71
7900 GX2,0.512,256,500,600,24,16,No,PCIe 1.0 x16,GDDR3,G71
7950 GT,0.512,256,550,700,24,16,No,PCIe 1.0 x16,GDDR3,G71
7950 GX2,0.512,256,500,600,24,16,No,PCIe 1.0 x16,GDDR3,G71
8800 GTS 640,0.64,320,513,792,24,20,No,PCIe 1.0 x16,GDDR3,G80
8800 GTX,0.768,384,576,900,32,24,No,PCIe 1.0 x16,GDDR3,G80
Go 6100 + nForce Go 430,,,425,,2,1,Yes,PCIe 1.0 x16,System Shared,C51
Go 6150 + nForce Go 430,,,425,,2,1,Yes,PCIe 2.0 x1,System Shared,C51
Go 6200,0.032,64,300,300,4,2,No,PCIe 1.0 x16,DDR,NV44
Go 6250,0.032,64,400,350,4,2,No,PCIe 1.0 x16,DDR,NV44
Go 6400,0.032,64,400,350,4,2,No,PCIe 1.0 x16,DDR,NV44
Go 7200,0.064,32,450,350,4,1,No,PCIe 1.0 x16,GDDR3,G72
Go 7300,0.064,64,350,350,4,2,No,PCIe 1.0 x16,GDDR3,G72
Go 7300T,0.064,64,350,350,4,2,No,PCIe 1.0 x16,GDDR3,G72
Go 7400,0.128,32,450,450,4,2,No,PCIe 1.0 x16,GDDR3,G72
Go 7400,0.128,64,450,450,4,2,No,PCIe 1.0 x16,GDDR3,G72
Go 7400T,0.128,64,450,450,4,2,No,PCIe 1.0 x16,GDDR3,G72
Go 7450,0.064,256,300,200,8,4,No,PCIe 1.0 x16,DDR2,G72
Go 7600,0.256,128,450,350,8,8,No,PCIe 1.0 x16,GDDR3,G73
Go 7600 GT,0.256,128,500,600,12,8,No,PCIe 1.0 x16,GDDR3,G73
Go 7700,0.512,128,450,500,12,8,No,PCIe 1.0 x16,GDDR3,G73
Go 7800,0.256,256,400,550,16,16,No,PCIe 1.0 x16,GDDR3,G70
Go 7900 GS,0.512,256,375,500,20,16,No,MXM-II,GDDR3,G71
Go 7900 GTX,0.512,256,500,600,24,16,No,PCIe 1.0 x16,GDDR3,G71
Go 7900 SE,0.256,256,350,333,12,8,No,PCIe 1.0 x16,GDDR3,G73
Go 7950 GTX,0.512,256,575,700,24,16,No,MXM-III,GDDR3,G71
GMA 3000,,,667,,4,4,Yes,FSB,System Shared,Broadwater
GMA 3000,,,667,,4,4,Yes,FSB,System Shared,Broadwater
GMA 3000,,,400,,4,4,Yes,FSB,System Shared,Broadwater
GMA 3000,,,400,,4,4,Yes,FSB,System Shared,Lakeport
GMA 950,,,250,,4,1,Yes,FSB,System Shared,Calistoga
GMA X3000,,,667,,4,4,Yes,FSB,System Shared,Broadwater
GMA X3000,,,500,,8,1,Yes,FSB,System Shared,Broadwater
Mobility FireGL V5200,0.256,128,425,475,12,12,No,PCIe 1.0 x16,GDDR3,M56
Mobility Radeon X1300,0.128,128,350,250,4,4,No,PCIe 1.0 x16,DDR2,M52
Mobility Radeon X1350,0.128,64,419,392,4,4,No,PCIe 1.0 x16,DDR2,M62
Mobility Radeon X1350,0.128,64,371,324,4,4,No,PCIe 1.0 x16,DDR2,M62
Mobility Radeon X1400,0.128,128,445,250,4,4,No,PCIe 1.0 x16,DDR2,M54
Mobility Radeon X1450,0.128,128,550,450,4,4,No,PCIe 1.0 x16,DDR2,M64
Mobility Radeon X1600,0.256,128,450,470,4,4,No,PCIe 1.0 x16,GDDR3,M56
Mobility Radeon X1700,0.256,128,475,400,4,4,No,PCIe 1.0 x16,GDDR3,M66
Mobility Radeon X1800,0.256,256,450,500,12,12,No,MXM-III,GDDR3,M58
Mobility Radeon X1800 XT,0.256,256,550,650,16,16,No,PCIe 1.0 x16,GDDR3,M58
Parhelia APVe,0.128,128,250,250,8,2,No,PCIe 1.0 x16,DDR,Parhelia-512
Playstation 3 GPU 90nm,0.256,128,550,650,24,8,No,IGP,GDDR3,RSX-90nm
Quadro FX 1500,0.256,256,325,625,16,16,No,PCIe 1.0 x16,GDDR3,G71
Quadro FX 1500M,0.512,256,375,500,20,16,No,MXM-II,GDDR3,G71
Quadro FX 350,0.128,64,550,405,4,2,No,PCIe 1.0 x16,DDR2,G72
Quadro FX 3500,0.256,256,450,660,20,16,No,PCIe 1.0 x16,GDDR3,G71
Quadro FX 350M,0.256,128,450,450,4,2,No,PCIe 1.0 x16,GDDR3,G72
Quadro FX 4500 SDI,0.512,256,430,525,24,16,No,PCIe 1.0 x16,GDDR3,G70
Quadro FX 4500 X2,0.512,256,500,605,24,16,No,PCIe 1.0 x16,GDDR3,G71
Quadro FX 550,0.128,128,360,400,8,8,No,PCIe 1.0 x16,GDDR3,NV43
Quadro FX 5500,1.024,256,650,505,24,16,No,PCIe 1.0 x16,DDR2,G71
Quadro FX 5500 SDI,1.024,256,650,505,24,16,No,PCIe 1.0 x16,GDDR3,G71
Quadro FX 550M,0.512,128,480,500,12,8,No,PCIe 1.0 x16,GDDR3,G73
Quadro FX 560,0.128,128,350,600,12,8,No,PCIe 1.0 x16,GDDR3,G73
Quadro NVS 110M,0.512,64,300,300,4,2,No,PCIe 1.0 x16,DDR,G72
Quadro NVS 120M,0.512,64,450,700,4,2,No,MXM-III,DDR2,G72
Quadro NVS 285,0.128,64,275,300,4,2,No,PCIe 1.0 x16,DDR2,NV44
Quadro NVS 300M,0.256,128,500,700,8,8,No,PCIe 1.0 x16,GDDR3,G73
Quadro NVS 440,0.128,128,250,250,8,8,No,PCIe 1.0 x16,GDDR3,NV43
Quadro NVS 510M,0.256,128,450,600,24,16,No,PCIe 1.0 x16,GDDR3,G71
Radeon X1050,0.128,64,400,333,4,4,No,PCIe 1.0 x16,DDR2,RV370
Radeon X1050 AGP,0.128,128,250,200,4,4,No,AGP 8x,DDR,RV350
Radeon X1300 PRO,0.256,128,600,400,4,4,No,PCIe 1.0 x16,DDR,RV516
Radeon X1300 XT,0.256,128,500,400,4,4,No,PCIe 1.0 x16,DDR2,RV530
Radeon X1300 XT AGP,0.256,128,500,400,4,4,No,AGP 8x,GDDR3,RV530
Radeon X1650 PRO,0.256,128,600,700,4,4,No,PCIe 1.0 x16,GDDR3,RV535
Radeon X1650 PRO AGP,0.256,128,600,700,4,4,No,AGP 8x,GDDR3,RV535
Radeon X1650 XT,0.256,128,525,700,8,8,No,PCIe 1.0 x16,GDDR3,RV560
Radeon X1650 XT AGP,0.512,128,540,680,8,8,No,AGP 8x,GDDR3,RV560
Radeon X1650 XT Dual,0.256,128,525,700,8,8,No,PCIe 1.0 x16,GDDR3,RV560
Radeon X1800 GTO,0.256,256,500,495,12,12,No,PCIe 1.0 x16,GDDR3,R520
Radeon X1800 GTO2,0.256,256,500,500,12,12,No,PCIe 1.0 x16,GDDR3,R520
Radeon X1900 CrossFire Edition,0.512,256,625,725,16,16,No,PCIe 1.0 x16,GDDR3,R580
Radeon X1900 G5 Mac Edition,0.256,256,575,600,12,12,No,PCIe 1.0 x16,GDDR3,R580
Radeon X1900 GT,0.256,256,575,600,12,12,No,PCIe 1.0 x16,GDDR3,R580
Radeon X1900 XT,0.256,256,625,725,16,16,No,PCIe 1.0 x16,GDDR3,R580
Radeon X1900 XTX,0.512,256,650,775,16,16,No,PCIe 1.0 x16,GDDR3,R580
Radeon X1950 CrossFire Edition,0.512,256,650,1000,16,16,No,PCIe 1.0 x16,GDDR4,R580+
Radeon X1950 PRO,0.256,256,575,690,12,12,No,PCIe 1.0 x16,GDDR3,RV570
Radeon X1950 PRO AGP,0.512,256,575,690,12,12,No,AGP 8x,GDDR3,RV570
Radeon X1950 XT,0.256,256,625,900,16,16,No,PCIe 1.0 x16,GDDR3,R580+
Radeon X1950 XT AGP,0.256,256,625,703,16,16,No,AGP 8x,GDDR3,R580+
Radeon X1950 XTX,0.512,256,650,1000,16,16,No,PCIe 1.0 x16,GDDR4,R580+
Radeon X300 SE HyperMemory,0.128,64,325,300,4,4,No,PCIe 1.0 x16,DDR,RV370
Radeon X850 CrossFire Edition,0.256,256,520,540,16,16,No,PCIe 1.0 x16,GDDR3,R480
Radeon Xpress 1150 Mobile IGP,,,400,,2,2,Yes,PCIe 1.0 x16,System Shared,RS485
Stream Processor,1.024,256,594,648,16,16,No,PCIe 1.0 x16,GDDR3,R580
Wii GPU,0.064,64,243,243,4,4,No,IGP,GDDR3,Hollywood
All-In-Wonder 2006 AGP Edition,0.256,128,324,196,4,4,No,AGP 8x,DDR,RV350
All-In-Wonder 2006 PCIe Edition,0.256,128,450,400,4,4,No,PCIe 1.0 x16,DDR2,RV515
All-In-Wonder X1800 XL,0.256,256,500,500,16,16,No,PCIe 1.0 x16,GDDR3,R520
All-In-Wonder X600 PRO,0.256,128,400,300,4,4,No,PCIe 1.0 x16,DDR,RV370
All-In-Wonder X800 SE,0.256,256,425,400,8,8,No,AGP 8x,GDDR3,R420
All-In-Wonder X800 VE,0.256,256,425,400,8,8,No,AGP 8x,GDDR3,R420
All-In-Wonder X800 XL,0.256,256,400,490,16,16,No,PCIe 1.0 x16,GDDR3,R430
FireGL V3300,0.128,64,600,400,4,4,No,PCIe 1.0 x16,DDR2,RV515
FireGL V3350,0.256,64,600,400,4,4,No,PCIe 1.0 x16,DDR2,RV515
FireGL V3400,0.128,128,500,500,4,4,No,PCIe 1.0 x16,GDDR3,RV530
FireGL V5200,0.128,128,600,700,4,4,No,PCIe 1.0 x16,GDDR3,RV530
FireGL V7200,0.256,256,600,650,16,16,No,PCIe 1.0 x16,GDDR3,R520
FireGL V7300,0.512,256,594,648,16,16,No,PCIe 1.0 x16,GDDR3,R520
FireGL V7350,1.024,256,600,650,16,16,No,PCIe 1.0 x16,GDDR3,R520
6200 AGP,0.256,64,350,266,4,2,No,AGP 8x,DDR2,NV44
6200 AGP,0.128,64,350,250,4,4,No,AGP 8x,DDR,NV44
6200 LE,0.128,64,350,266,2,2,No,PCIe 1.0 x16,DDR,NV44
6200 LE,0.064,32,350,266,2,2,No,PCIe 1.0 x16,DDR2,NV44
6200 LE AGP,0.128,64,350,266,2,2,No,AGP 8x,DDR,NV44
6500,0.128,128,400,266,4,2,No,PCIe 1.0 x16,DDR2,NV44
6600 LE,0.128,128,300,250,4,4,No,PCIe 1.0 x16,DDR,NV43
6600 LE AGP,0.128,128,300,200,4,4,No,AGP 8x,DDR,NV43
6600 VE,0.128,128,300,200,4,4,No,PCIe 1.0 x16,GDDR3,NV43
6800 GS,0.256,256,425,500,12,12,No,PCIe 1.0 x16,GDDR3,NV41
6800 GS,0.256,256,350,500,12,12,No,AGP 8x,GDDR3,NV40
6800 LE,0.256,256,325,300,8,8,No,PCIe 1.0 x16,DDR,NV41
6800 XE,0.256,128,275,266,8,8,No,AGP 8x,DDR2,NV40
6800 XT,0.256,128,300,266,8,8,No,AGP 8x,DDR,NV48
6800 XT,0.256,256,300,350,8,8,No,AGP 8x,DDR,NV40
6800 XT,0.256,256,450,600,12,12,No,AGP 8x,GDDR3,NV42
6800 XT,0.256,256,425,500,8,8,No,PCIe 1.0 x16,GDDR3,NV41
7800 GT,0.256,256,400,500,20,16,No,PCIe 1.0 x16,GDDR3,G70
7800 GT Dual,0.256,256,400,500,20,16,No,PCIe 1.0 x16,GDDR3,G70
7800 GTX,0.256,256,430,600,24,16,No,PCIe 1.0 x16,GDDR3,G70
7800 GTX 512,0.512,256,500,800,24,16,No,PCIe 1.0 x16,GDDR3,G70
FX Go5700,0.128,128,450,275,4,4,No,AGP 8x,DDR,NV36
Go 6200 TE,0.064,64,300,300,4,4,No,PCIe 1.0 x16,DDR,NV43
Go 6600,0.256,128,300,350,8,4,No,MXM-II,DDR,NV43
Go 6600 NPB 128M,0.128,128,375,300,8,4,No,PCIe 1.0 x16,DDR,NV43
Go 6600 TE,0.128,128,225,200,8,4,No,PCIe 1.0 x16,DDR,NV43
Go 6800 Ultra,0.256,256,450,600,12,12,No,PCIe 1.0 x16,GDDR3,NV41
Go 7800 GTX,0.512,256,440,550,24,16,No,PCIe 1.0 x16,GDDR3,G70
GMA 900,,,333,,4,4,Yes,FSB,System Shared,Alviso
GMA 950,,,250,,4,1,Yes,FSB,System Shared,Lakeport
GMA 950,,,166,,4,1,Yes,FSB,System Shared,Lakeport
Mobility FireGL V5000,0.128,128,350,425,8,8,No,PCIe 1.0 x16,GDDR3,M26
Mobility Radeon X200 IGP,,,300,,2,2,Yes,PCIe 1.0 x16,System Shared,RS480
Mobility Radeon X200 IGP,,,300,,2,2,Yes,PCIe 1.0 x16,System Shared,RS400
Mobility Radeon X300,0.128,64,350,250,4,4,No,PCIe 1.0 x16,DDR,M22
Mobility Radeon X300 IGP,,,300,,2,2,Yes,PCIe 1.0 x16,System Shared,RS480
Mobility Radeon X700,0.128,128,350,300,8,4,No,PCIe 1.0 x16,DDR,M26
Mobility Radeon X700 XL,0.128,128,350,330,8,4,No,PCIe 1.0 x16,DDR,M26
Mobility Radeon X800 XT,0.256,256,480,550,16,16,No,PCIe 1.0 x16,GDDR3,M28
Playstation 2 GPU 90nm,0.004,2560,147,150,8,16,No,IGP,eDRAM,EE+GS-90nm
Quadro FX 2500M,0.512,256,500,600,24,16,No,MXM-III,GDDR3,G71
Quadro FX 3450,0.256,256,425,500,12,12,No,PCIe 1.0 x16,GDDR3,NV41
Quadro FX 4400,0.512,256,375,525,16,16,No,PCIe 1.0 x16,GDDR3,NV45
Quadro FX 4400G,0.512,256,375,525,16,16,No,PCIe 1.0 x16,GDDR3,NV45
Quadro FX 4500,0.512,256,430,525,24,16,No,PCIe 1.0 x16,GDDR3,G70
Quadro FX Go1400,0.256,256,275,295,8,8,No,MXM-III,DDR,NV41
Quadro NVS 280 SD,0.064,64,250,200,4,2,No,AGP 8x,DDR,NV18C
Quadro NVS 50 PCI,0.064,64,250,200,4,2,No,PCI,DDR,NV18
Quadro NVS 55 PCI,0.064,64,250,200,4,4,No,PCI,DDR,NV34B
Radeon 9550 XT,0.128,128,425,325,4,4,No,AGP 8x,DDR,RV350
Radeon X1300,0.256,128,450,250,4,4,No,PCIe 1.0 x16,DDR,RV515
Radeon X1300,0.128,128,450,250,4,4,No,PCIe 1.0 x16,DDR,RV516
Radeon X1300 AGP,0.256,128,450,250,4,4,No,AGP 8x,DDR,RV515
Radeon X1300 LE,0.064,64,450,250,4,4,No,PCIe 1.0 x16,DDR,RV515
Radeon X1300 PCI,0.128,128,450,250,4,4,No,PCI,DDR,RV515
Radeon X1300 PCI,0.128,64,450,250,4,4,No,PCI,DDR2,RV516
Radeon X1300 PRO,0.128,128,600,400,4,4,No,PCIe 1.0 x16,DDR,RV515
Radeon X1300 PRO AGP,0.256,128,600,400,4,4,No,AGP 8x,DDR,RV515
Radeon X1600 PRO,0.256,128,500,390,4,4,No,PCIe 1.0 x16,GDDR3,RV530
Radeon X1600 XT,0.256,128,590,690,4,4,No,PCIe 1.0 x16,GDDR3,RV530
Radeon X1800 CrossFire Edition,0.512,256,600,700,16,16,No,PCIe 1.0 x16,GDDR3,R520
Radeon X1800 XL,0.256,256,500,500,16,16,No,PCIe 1.0 x16,GDDR3,R520
Radeon X1800 XT,0.512,256,600,700,16,16,No,PCIe 1.0 x16,GDDR3,R520
Radeon X550,0.128,128,400,250,4,4,No,PCIe 1.0 x16,DDR,RV370
Radeon X550 HyperMemory,0.256,128,400,250,4,4,No,PCIe 1.0 x16,DDR2,RV370
Radeon X700 SE,0.128,64,400,250,4,4,No,PCIe 1.0 x16,DDR,RV410
Radeon X740 XL,0.128,128,425,450,8,8,No,PCIe 1.0 x16,GDDR3,RV410
Radeon X800 CrossFire Edition,0.256,256,500,500,16,16,No,PCIe 1.0 x16,GDDR3,R423
Radeon X800 GT,0.128,256,475,350,12,12,No,PCIe 1.0 x16,DDR,R480
Radeon X800 GT,0.128,256,475,493,8,8,No,PCIe 1.0 x16,DDR,R430
Radeon X800 GT AGP,0.256,256,475,493,12,12,No,AGP 8x,GDDR3,R481
Radeon X800 GTO,0.256,256,400,400,12,12,No,PCIe 1.0 x16,GDDR3,R480
Radeon X800 GTO AGP,0.256,256,400,490,12,12,No,AGP 8x,GDDR3,R481
Radeon X800 GTO AGP,0.256,256,400,490,12,12,No,AGP 8x,GDDR3,R430
Radeon X800 GTO2,0.256,256,400,490,16,16,No,PCIe 1.0 x16,GDDR3,R480
Radeon X850 PRO AGP,0.256,256,500,500,12,12,No,AGP 8x,GDDR3,R481
Radeon X850 XT AGP,0.256,256,520,540,16,16,No,AGP 8x,GDDR3,R481
Radeon X850 XT Platinum AGP,0.256,256,540,590,16,16,No,AGP 8x,GDDR3,R481
Radeon Xpress 1100 Mobile IGP,,,336,,2,2,Yes,PCIe 1.0 x16,System Shared,RC410
Radeon Xpress 1100 Mobile IGP,,,300,,2,2,Yes,PCIe 1.0 x16,System Shared,RS482
Radeon Xpress 200M IGP,,,336,,2,2,Yes,PCIe 1.0 x16,System Shared,RC410
Volari 8300,0.128,64,300,300,8,4,No,PCIe 1.0 x16,DDR,XG47
Xbox 360 GPU 90nm,0.512,128,500,700,16,8,No,IGP,GDDR3,Xenos Xenon
All-In-Wonder 9200,0.128,128,250,200,4,4,No,AGP 8x,DDR,RV280
All-In-Wonder 9200 SE,0.128,64,250,164,4,4,No,AGP 8x,DDR,RV280
All-In-Wonder 9600 XT,0.128,128,527,324,4,4,No,AGP 8x,DDR,RV360
All-In-Wonder X800 GT,0.128,128,398,492,8,8,No,PCIe 1.0 x16,GDDR3,R430
All-In-Wonder X800 XT,0.256,256,500,500,16,16,No,AGP 8x,GDDR3,R420
FireGL V3100,0.128,64,391,196,4,4,No,PCIe 1.0 x16,DDR,RV370
FireGL V3200,0.128,128,500,350,4,4,No,PCIe 1.0 x16,DDR,RV380
FireGL V5000,0.128,128,425,430,8,8,No,PCIe 1.0 x16,GDDR3,RV410
FireGL V5100,0.128,256,450,350,12,12,No,PCIe 1.0 x16,DDR,R423
FireGL V7100,0.256,256,493,475,16,16,No,PCIe 1.0 x16,GDDR3,R423
FireGL X3-256,0.256,256,491,454,12,12,No,AGP 8x,GDDR3,R420
6100,,,425,,1,1,Yes,PCI,System Shared,C51
6100 + nForce 400,,,425,,1,1,Yes,PCI,System Shared,C61
6100 + nForce 405,,,425,,1,1,Yes,PCI,System Shared,C61
6100 + nForce 420,,,425,,1,1,Yes,PCI,System Shared,C61
6100 + nForce 430,,,425,,1,1,Yes,PCI,System Shared,C61
6150,,,475,,1,1,Yes,PCI,System Shared,C51
6150 LE,,,425,,1,1,Yes,PCI,System Shared,C51
6150 SE + nForce 430,,,425,,1,1,Yes,PCI,System Shared,C61
6200,0.128,128,300,275,2,4,No,PCIe 1.0 x16,DDR,NV43
6200 LE AGP 512 MB,0.512,128,300,275,4,2,No,AGP 8x,DDR2,NV44
6200 LE PCI,0.256,64,300,266,4,2,No,PCI,DDR,NV43
6200 SE TurboCache,0.064,32,350,250,4,2,No,PCIe 1.0 x16,DDR,NV44
6200 TurboCache,0.064,64,350,250,4,2,No,AGP 4x,DDR,NV44B
6600,0.256,128,300,250,8,4,No,PCIe 1.0 x16,DDR,NV43
6600 AGP,0.128,128,300,250,8,4,No,PCIe 1.0 x16,DDR,NV43
6600 GT,0.128,128,500,500,8,4,No,PCIe 1.0 x16,GDDR3,NV43
6600 GT AGP,0.128,128,500,475,8,4,No,AGP 8x,GDDR3,NV43
6600 GT Dual,0.128,128,500,560,8,4,No,PCIe 1.0 x16,GDDR3,NV43
6610 XL,0.128,128,400,400,8,4,No,PCIe 1.0 x16,GDDR3,NV43
6700 XL,0.128,128,525,550,8,4,No,PCIe 1.0 x16,GDDR3,NV43
6800,0.256,256,325,300,12,12,No,PCIe 1.0 x16,DDR,NV41
6800,0.256,256,325,350,12,12,No,AGP 8x,DDR,NV48
6800,0.128,256,325,350,12,12,No,AGP 8x,DDR,NV40
6800 GT,0.256,256,350,500,16,16,No,PCIe 1.0 x16,GDDR3,NV45
6800 GT,0.256,256,350,500,16,16,No,AGP 8x,GDDR3,NV48
6800 GT,0.128,256,350,250,16,16,No,AGP 8x,DDR,NV40
6800 GT DDL,0.256,256,350,500,16,16,No,AGP Pro 8x,GDDR3,NV40
6800 GT Dual,0.256,256,350,500,16,16,No,PCIe 1.0 x16,GDDR3,NV45
6800 GTO,0.256,256,350,500,12,12,No,PCIe 1.0 x16,GDDR3,NV45
6800 LE,0.128,256,300,350,8,8,No,AGP 8x,DDR,NV40
6800 Ultra,0.256,256,425,550,16,16,No,PCIe 1.0 x16,GDDR3,NV45
6800 Ultra,0.256,256,425,550,16,16,No,AGP 8x,GDDR3,NV40
6800 Ultra DDL,0.256,256,400,550,16,16,No,AGP Pro 8x,GDDR3,NV40
FX 5500,0.064,128,270,166,4,4,No,AGP 8x,DDR,NV34B
FX 5500 PCI,0.256,128,270,200,4,4,No,PCI,DDR,NV34B
FX 5700 EP,0.128,64,425,200,4,4,No,AGP 8x,DDR,NV36
FX 5700 LE,0.128,64,250,200,4,4,No,AGP 8x,DDR,NV36
FX 5700 VE,0.128,128,250,200,4,4,No,AGP 8x,DDR,NV36
Go 6800,0.256,256,300,550,12,12,No,MXM-III,GDDR3,NV41
PCX 4300,0.064,64,250,166,2,2,No,PCIe 1.0 x16,DDR,NV19
PCX 5300,0.128,128,250,200,4,4,No,PCIe 1.0 x16,DDR,NV37
PCX 5750,0.128,128,425,275,4,4,No,PCIe 1.0 x16,DDR,NV39
PCX 5950,0.256,256,475,425,8,4,No,PCIe 1.0 x16,GDDR3,NV38
GMA 900,,,333,,4,4,Yes,FSB,System Shared,Grantsdale
M9125 PCIe x16,0.512,64,250,300,8,2,No,PCIe 1.0 x16,DDR2,PX-A1
Mobility FireGL T2e,0.128,128,450,225,4,4,No,AGP 4x,DDR,M11
Mobility FireGL V3100,0.128,128,350,200,4,4,No,PCIe 1.0 x16,DDR,M22
Mobility FireGL V3200,0.128,128,400,250,4,4,No,PCIe 1.0 x16,DDR2,M24
Mobility Radeon 7000,0.016,32,144,139,3,1,No,AGP 4x,DDR,M6
Mobility Radeon 9500,0.128,64,230,190,4,4,No,AGP 4x,DDR,M10
Mobility Radeon 9550,0.064,64,250,243,4,4,No,AGP 4x,DDR,M12
Mobility Radeon 9600,0.128,64,300,200,4,4,No,AGP 8x,DDR,M10
Mobility Radeon 9600 PRO,0.128,128,333,200,4,4,No,AGP 8x,DDR,M10
Mobility Radeon 9600 PRO Turbo,0.128,128,337,243,4,4,No,AGP 8x,DDR,M10
Mobility Radeon 9700,0.064,128,450,275,4,4,No,AGP 8x,DDR,M11
Mobility Radeon 9700 SE,0.128,64,250,200,4,4,No,AGP 4x,DDR,M10
Mobility Radeon 9800,0.256,256,350,300,8,8,No,AGP 8x,DDR,M18
Mobility Radeon X600,0.128,128,400,250,4,4,No,PCIe 1.0 x16,DDR,M24
Mobility Radeon X600 SE,0.064,128,400,250,4,4,No,PCIe 1.0 x16,DDR,M24
Mobility Radeon X800,0.256,256,400,400,12,12,No,PCIe 1.0 x16,GDDR3,M28
Parhelia 128 MB,0.128,256,250,300,16,4,No,AGP 8x,DDR,Parhelia-512
Parhelia 256 MB,0.256,256,250,325,16,4,No,AGP 8x,DDR,Parhelia-512
Playstation Portable GPU 90nm,0.002,512,133,83,5,5,No,IGP,eDRAM,RE+SE-90nm
QID,0.256,128,250,300,8,2,No,AGP 8x,DDR,MP-A4
QID LP PCI,0.128,64,250,300,8,2,No,PCI-X,DDR,MP-A4
QID LP PCIe,0.128,128,250,300,8,2,No,PCIe 1.0 x16,DDR,MP-A4
QID PRO,0.256,64,250,300,8,2,No,PCI-X,DDR,MP-A4
Quadro FX 1100,0.128,128,425,325,4,4,No,AGP 8x,DDR2,NV36
Quadro FX 1300,0.128,256,350,275,8,4,No,PCIe 1.0 x16,DDR,NV38
Quadro FX 1400,0.128,256,350,300,12,8,No,PCIe 1.0 x16,DDR,NV41
Quadro FX 330,0.064,64,250,200,4,4,No,PCIe 1.0 x16,DDR2,NV37
Quadro FX 3400,0.256,256,350,450,12,12,No,PCIe 1.0 x16,GDDR3,NV45
Quadro FX 4000,0.256,256,375,500,16,16,No,AGP 8x,GDDR3,NV40
Quadro FX 4000 SDI,0.256,256,425,500,12,12,No,PCIe 1.0 x16,GDDR3,NV41
Quadro FX 540,0.128,128,300,250,8,8,No,PCIe 1.0 x16,GDDR3,NV43
Quadro FX 600 PCI,0.128,128,270,240,4,4,No,PCI,DDR,NV34
Quadro FX 700,0.128,128,275,275,8,4,No,AGP 8x,DDR,NV35
Quadro FX Go1000,0.128,128,295,285,4,4,No,AGP 4x,DDR,NV36
Quadro FX Go540,0.128,128,300,225,8,8,No,MXM-II,DDR,NV43
Quadro NVS 280 AGP,0.064,128,275,250,4,4,No,AGP 8x,DDR,NV34
Quadro NVS 280 PCIe,0.064,128,275,250,4,4,No,PCIe 1.0 x16,DDR,NV37
Quadro4 400 NVS PCI,0.064,128,220,166,4,2,No,PCI,DDR,NV17
Radeon 7000 Mac Edition,0.032,64,183,183,3,1,No,AGP 4x,DDR,RV100
Radeon 7000 Mac Edition PCI,0.032,64,183,183,3,1,No,PCI,DDR,RV100
Radeon 9000 PRO Mac Edition,0.064,128,275,275,4,4,No,AGP 4x,DDR,RV250
Radeon 9250,0.064,64,240,200,4,4,No,AGP 8x,DDR,RV280
Radeon 9250 PCI,0.128,64,240,200,4,4,No,PCI,DDR,RV280
Radeon 9800 PRO Mac Edition,0.128,256,378,338,8,8,No,AGP Pro 8x,DDR,R360
Radeon 9800 XT Mac Edition,0.256,256,412,365,8,8,No,AGP Pro 8x,DDR,R360
